24346		49
40848		2
43814	#daihyo	2
14073	%	49
38208	+d	12
11008	-1	331
28557	-10℃	2
18681	-2	208
18611	-3	231
21773	-4	48
10003	.com	88
30939	.fr	2
1062	.jp	222
16697	.net	41
15123	.s	18
32320	.日本	2
966	0	666
16451	0%	9
40823	0.3m	11
24493	0.6mm	2
7486	00	313
1307	000	387
38246	0001	2
21032	0002	2
40311	0003	3
40490	0004	2
21095	001	21
31150	0011	2
39279	0016	2
40714	001701	2
21984	002	7
10235	003	15
32691	004	2
32812	005	2
28413	0061	3
31146	0062	3
32501	0063	2
27693	007	29
11829	007sh	5
35879	007／カジノ・ロワイヤル	4
10590	009	3
11094	01	240
13686	010	7
21483	011	8
38451	0111	4
21031	012	11
10588	0120	24
40267	0120401	2
32039	013	2
10589	014	3
32040	015	2
25144	016	2
27258	017	3
32044	019	2
11689	02	148
32046	020	4
28315	022	4
13057	023	4
13058	024	3
13060	025	2
32088	028	4
22308	029	2
12104	03	228
10039	030	4
25052	032	2
31268	033	2
32094	035	2
12543	04	174
32099	040	15
20651	042	4
32103	043	2
25949	045	15
30226	046	2
32108	047	3
21511	048	6
13390	05	175
11562	050	26
13584	050 plus	3
28082	050plus	3
32119	052	2
32122	055	3
32123	056	3
30887	057	3
24606	0570	8
22913	058	2
30886	059	2
12253	06	153
40681	060	3
20731	0600	2
25053	064	3
27271	068	2
12482	07	140
40411	070	2
36099	078	2
40370	079	2
1085	08	116
19506	080	22
24897	0800	5
40492	081	2
24609	084	4
31920	086	3
12400	09	152
9630	090	4
38249	092	3
32680	0928	3
40682	095	2
39301	098	3
27120	0cm	5
21096	0g	20
26844	0kg	4
21368	0m	9
21544	0mm	9
19164	0t	14
26484	0w	5
19276	0インチ	39
19679	0円	31
39192	0分	3
26627	0度	2
21886	0時	18
43071	0点	3
1075	1	2114
25145	1%	2
22357	1.1g	3
20485	1.1kg	3
40464	1.1m	2
19207	1.2g	22
27241	1.2m	2
40706	1.3g	4
40826	1.3m	22
22124	1.3倍	2
23996	1.4g	32
40549	1.4m	2
19663	1.5g	139
14565	1.5kg	2
24150	1.5m	5
1628	1.5倍	15
20924	1.6g	4
22200	1.6m	2
39779	1.6倍	3
41287	1.7g	7
25137	1.7kg	2
20504	1.8g	5
40806	1.9m	2
37389	1.fcケルン	3
2956	10	668
7707	10%	7
41158	10.3mm	4
41087	10.7mm	4
41400	10.8mm	2
24088	10.9%	2
41043	10.9mm	4
2742	100	182
11730	100%	29
59	1000	56
26860	10000	11
21537	10000m	8
38500	10000円	4
17962	1000m	4
21552	1000ma	3
26841	1000w	2
31664	1000ドル	2
2430	1000万	15
14166	1000万人	4
885	1000万円	55
2630	1000人	59
28139	1000倍	4
13459	1000円	36
17058	1000回	2
17286	1000年	4
44594	1000枚	2
27397	1001	4
21298	1006	2
23862	100base-tx	5
12050	100g	11
22834	100gb	3
21426	100m	26
19356	100ma	6
18475	100ml	10
21826	100mm	7
6286	100キロ	8
18872	100ドル	3
9042	100パーセント	4
25349	100メートル	6
621	100万	55
34610	100万人	12
6876	100万円	43
4372	100人	38
36949	100人斬り	4
23806	100件	5
34629	100作品	3
12047	100倍	9
31117	100億	5
34308	100億円	2
1395	100円	58
5827	100円ショップ	4
5828	100円均一	2
9206	100分	10
42743	100勝	3
11220	100周年	14
15184	100回	8
23620	100回目	2
5829	100均	3
16456	100年	29
26057	100年前	11
18593	100年後	3
36980	100年目	2
10036	100日	4
25907	100時間	3
27977	100曲	6
22073	100本	5
8648	100枚	3
12534	100点	11
33214	100種	3
34965	100話	2
4505	100％	62
19662	101	42
26741	101k	3
19675	102	37
33555	1020	2
20190	1024	23
41183	102m	3
22697	103	23
15109	1030	2
18689	103g	2
20945	104	22
24869	104m	3
13619	105	16
21098	1050	2
16269	1050円	5
39820	105円	6
23715	105年	2
30364	106	28
6057	107	32
27619	108	11
20195	1080	48
41444	1084	2
41172	1089	2
21055	108g	7
27824	108m	2
13608	109	13
25675	109g	2
23861	10base-t	3
39822	10cm	3
23186	10g	7
16955	10gb	7
10138	10kg	8
19019	10m	22
39722	10ml	2
23525	10mm	5
32822	10w	2
25193	10℃	4
21506	10インチ	8
11310	10キロ	7
3708	10センチ	2
26172	10ドル	3
70	10万	41
36609	10万人	4
4216	10万円	38
7700	10人	33
316	10代	59
9058	10代女性	3
30561	10代後半	4
11858	10件	8
10915	10位	39
9573	10倍	30
18907	10億	11
36901	10億円	7
15041	10円	9
4447	10分	63
9202	10分間	7
19657	10割	3
42019	10勝	2
42870	10号	2
11622	10周年	16
8936	10回	33
29996	10回目	5
39797	10巻	2
1678	10年	136
9152	10年ぶり	10
209	10年前	34
9009	10年後	22
4807	10年目	6
5069	10年間	21
37149	10才	2
11406	10日	111
34609	10日間	9
10657	10時	32
20342	10時間	20
36775	10曲	2
4877	10月	131
15610	10月10日	6
26903	10月11日	15
33230	10月12日	19
14236	10月13日	8
26048	10月14日	14
26555	10月15日	8
32494	10月16日	7
27018	10月17日	13
27132	10月18日	7
32728	10月19日	10
14126	10月1日	25
15607	10月20日	14
26533	10月21日	8
25223	10月22日	40
34638	10月23日	6
34579	10月24日	5
34645	10月25日	4
25222	10月26日	10
6814	10月27日	15
14313	10月28日	23
26898	10月29日	12
33416	10月2日	5
24387	10月30日	4
14127	10月31日	9
14181	10月3日	5
26714	10月4日	5
26059	10月5日	12
26832	10月6日	11
34090	10月7日	11
13761	10月8日	14
26537	10月9日	2
25221	10月上旬	6
25220	10月下旬	9
13148	10月中旬	5
6317	10本	9
7491	10枚	14
5795	10歳	31
21494	10点	6
37871	10番	5
20002	10秒	9
23228	10種	3
5642	10種類	16
39723	10色	7
12788	10話	4
31203	10部	4
38501	10階	2
6395	11	372
41953	11.4mm	2
27623	11.7cm	2
40898	11.7mm	2
40952	11.9mm	4
22352	110	25
11497	1100	3
38499	11000円	2
31569	1100万円	2
28053	110g	10
22615	110m	9
28010	110円	2
35097	110分	3
28437	110周年	23
24155	110度cs	2
22189	110度csデジタル	10
22193	110度csデジタル放送	4
40459	110番	27
37436	111	14
21000	112	13
33603	1120億円	5
41725	1122	2
40455	112m	3
22106	113	8
27506	114	6
41948	114m	2
25959	115	17
19863	115g	4
10572	116	8
41638	116g	2
37875	116人	2
